EventID	JourneyID	AutoID	engine_speed	vehicle_speed	road_speed_limit	transmission_gear_position	beam_status	latitude	longitude	timastamp
1	F3238A83-8F68-4D2E-845B-7461D8277057	1	4508	69	70	4	0	50.192006	157.459323	2018-05-12 22:09:21.033
2	F3238A83-8F68-4D2E-845B-7461D8277057	1	4573	70	70	4	0	50.192084	157.459403	2018-05-12 22:09:31.033
3	F3238A83-8F68-4D2E-845B-7461D8277057	1	4639	71	70	4	0	50.192151	157.459499	2018-05-12 22:09:41.033
4	F3238A83-8F68-4D2E-845B-7461D8277057	1	4443	68	70	4	1	50.192197	157.459515	2018-05-12 22:09:51.033
5	F3238A83-8F68-4D2E-845B-7461D8277057	1	4377	67	70	4	1	50.192179	157.459554	2018-05-12 22:10:01.033
6	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192166	157.459533	2018-05-12 22:10:11.033
7	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192088	157.459630	2018-05-12 22:10:21.033
8	F3238A83-8F68-4D2E-845B-7461D8277057	1	4051	62	70	4	1	50.192054	157.459552	2018-05-12 22:10:31.033
9	F3238A83-8F68-4D2E-845B-7461D8277057	1	3985	61	70	4	1	50.192054	157.459629	2018-05-12 22:10:41.033
10	F3238A83-8F68-4D2E-845B-7461D8277057	1	3985	61	70	4	1	50.192049	157.459674	2018-05-12 22:10:51.033
11	F3238A83-8F68-4D2E-845B-7461D8277057	1	5488	60	70	3	1	50.191971	157.459661	2018-05-12 22:11:01.033
12	F3238A83-8F68-4D2E-845B-7461D8277057	1	3855	59	70	4	1	50.192006	157.459752	2018-05-12 22:11:11.033
13	F3238A83-8F68-4D2E-845B-7461D8277057	1	3659	56	70	4	1	50.191962	157.459733	2018-05-12 22:11:21.033
14	F3238A83-8F68-4D2E-845B-7461D8277057	1	3724	57	70	4	1	50.191988	157.459701	2018-05-12 22:11:31.033
15	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.192082	157.459656	2018-05-12 22:11:41.033
16	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.192016	157.459621	2018-05-12 22:11:51.033
17	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.192035	157.459598	2018-05-12 22:12:01.033
18	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.192020	157.459534	2018-05-12 22:12:11.033
19	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191948	157.459530	2018-05-12 22:12:21.033
20	F3238A83-8F68-4D2E-845B-7461D8277057	1	3463	53	70	4	1	50.191915	157.459612	2018-05-12 22:12:31.033
21	F3238A83-8F68-4D2E-845B-7461D8277057	1	3463	53	70	4	1	50.191926	157.459602	2018-05-12 22:12:41.033
22	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191902	157.459701	2018-05-12 22:12:51.033
23	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191926	157.459712	2018-05-12 22:13:01.033
24	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191828	157.459685	2018-05-12 22:13:11.033
25	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191881	157.459719	2018-05-12 22:13:21.033
26	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.191792	157.459642	2018-05-12 22:13:31.033
27	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.191781	157.459723	2018-05-12 22:13:41.033
28	F3238A83-8F68-4D2E-845B-7461D8277057	1	5122	56	70	3	1	50.191876	157.459628	2018-05-12 22:13:51.033
29	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.191809	157.459579	2018-05-12 22:14:01.033
30	F3238A83-8F68-4D2E-845B-7461D8277057	1	3463	53	70	4	1	50.191847	157.459593	2018-05-12 22:14:11.033
31	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191769	157.459565	2018-05-12 22:14:21.033
32	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191694	157.459527	2018-05-12 22:14:31.033
33	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191631	157.459448	2018-05-12 22:14:41.033
34	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191687	157.459491	2018-05-12 22:14:51.033
35	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191741	157.459485	2018-05-12 22:15:01.033
36	F3238A83-8F68-4D2E-845B-7461D8277057	1	3397	52	70	4	1	50.191678	157.459518	2018-05-12 22:15:11.033
37	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191636	157.459516	2018-05-12 22:15:21.033
38	F3238A83-8F68-4D2E-845B-7461D8277057	1	3463	53	70	4	1	50.191660	157.459593	2018-05-12 22:15:31.033
39	F3238A83-8F68-4D2E-845B-7461D8277057	1	3463	53	70	4	1	50.191730	157.459647	2018-05-12 22:15:41.033
40	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191791	157.459686	2018-05-12 22:15:51.033
41	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191868	157.459651	2018-05-12 22:16:01.033
42	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.191864	157.459634	2018-05-12 22:16:11.033
43	F3238A83-8F68-4D2E-845B-7461D8277057	1	3175	54	70	5	1	50.191935	157.459613	2018-05-12 22:16:21.033
44	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.192030	157.459552	2018-05-12 22:16:31.033
45	F3238A83-8F68-4D2E-845B-7461D8277057	1	5031	55	70	3	1	50.192128	157.459479	2018-05-12 22:16:41.033
46	F3238A83-8F68-4D2E-845B-7461D8277057	1	3724	57	70	4	1	50.192184	157.459564	2018-05-12 22:16:51.033
47	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.192089	157.459513	2018-05-12 22:17:01.033
48	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.192133	157.459503	2018-05-12 22:17:11.033
49	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.192208	157.459521	2018-05-12 22:17:21.033
50	F3238A83-8F68-4D2E-845B-7461D8277057	1	3293	56	70	5	1	50.192134	157.459506	2018-05-12 22:17:31.033
51	F3238A83-8F68-4D2E-845B-7461D8277057	1	3293	56	70	5	1	50.192213	157.459530	2018-05-12 22:17:41.033
52	F3238A83-8F68-4D2E-845B-7461D8277057	1	3724	57	70	4	1	50.192281	157.459607	2018-05-12 22:17:51.033
53	F3238A83-8F68-4D2E-845B-7461D8277057	1	4443	68	70	4	1	50.192211	157.459620	2018-05-12 22:18:01.033
54	F3238A83-8F68-4D2E-845B-7461D8277057	1	4508	69	70	4	1	50.192243	157.459674	2018-05-12 22:18:11.033
55	F3238A83-8F68-4D2E-845B-7461D8277057	1	6128	67	70	3	1	50.192230	157.459662	2018-05-12 22:18:21.033
56	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192290	157.459615	2018-05-12 22:18:31.033
57	F3238A83-8F68-4D2E-845B-7461D8277057	1	4247	65	70	4	1	50.192276	157.459624	2018-05-12 22:18:41.033
58	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192311	157.459529	2018-05-12 22:18:51.033
59	F3238A83-8F68-4D2E-845B-7461D8277057	1	4116	63	70	4	1	50.192259	157.459433	2018-05-12 22:19:01.033
60	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192288	157.459385	2018-05-12 22:19:11.033
61	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192336	157.459399	2018-05-12 22:19:21.033
62	F3238A83-8F68-4D2E-845B-7461D8277057	1	5945	65	70	3	1	50.192269	157.459492	2018-05-12 22:19:31.033
63	F3238A83-8F68-4D2E-845B-7461D8277057	1	4247	65	70	4	1	50.192303	157.459504	2018-05-12 22:19:41.033
64	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192211	157.459445	2018-05-12 22:19:51.033
65	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192163	157.459453	2018-05-12 22:20:01.033
66	F3238A83-8F68-4D2E-845B-7461D8277057	1	3646	62	70	5	1	50.192130	157.459457	2018-05-12 22:20:11.033
67	F3238A83-8F68-4D2E-845B-7461D8277057	1	4181	64	70	4	1	50.192218	157.459480	2018-05-12 22:20:21.033
68	F3238A83-8F68-4D2E-845B-7461D8277057	1	4116	63	70	4	1	50.192281	157.459459	2018-05-12 22:20:31.033
69	F3238A83-8F68-4D2E-845B-7461D8277057	1	4051	62	70	4	1	50.192371	157.459461	2018-05-12 22:20:41.033
70	F3238A83-8F68-4D2E-845B-7461D8277057	1	3920	60	70	4	1	50.192414	157.459553	2018-05-12 22:20:51.033
71	F3238A83-8F68-4D2E-845B-7461D8277057	1	3789	58	70	4	1	50.192338	157.459463	2018-05-12 22:21:01.033
72	F3238A83-8F68-4D2E-845B-7461D8277057	1	3293	56	70	5	1	50.192370	157.459522	2018-05-12 22:21:11.033
73	F3238A83-8F68-4D2E-845B-7461D8277057	1	3724	57	70	4	1	50.192289	157.459595	2018-05-12 22:21:21.033
74	F3238A83-8F68-4D2E-845B-7461D8277057	1	3789	58	70	4	1	50.192382	157.459640	2018-05-12 22:21:31.033
75	F3238A83-8F68-4D2E-845B-7461D8277057	1	3659	56	70	4	1	50.192304	157.459593	2018-05-12 22:21:41.033
76	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.192358	157.459577	2018-05-12 22:21:51.033
77	F3238A83-8F68-4D2E-845B-7461D8277057	1	3593	55	70	4	1	50.192334	157.459548	2018-05-12 22:22:01.033
78	F3238A83-8F68-4D2E-845B-7461D8277057	1	3659	56	70	4	1	50.192369	157.459507	2018-05-12 22:22:11.033
79	F3238A83-8F68-4D2E-845B-7461D8277057	1	3659	56	70	4	1	50.192284	157.459543	2018-05-12 22:22:21.033
80	F3238A83-8F68-4D2E-845B-7461D8277057	1	3175	54	70	5	1	50.192241	157.459448	2018-05-12 22:22:31.033
81	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.192261	157.459448	2018-05-12 22:22:41.033
82	F3238A83-8F68-4D2E-845B-7461D8277057	1	3528	54	70	4	1	50.192359	157.459376	2018-05-12 22:22:51.033
