AutoID	OwnerID	VIN	Make	Model	Year	DriveTrain	EngineType	ExteriorColor	InteriorColor	Transmission
1	1	FHL3O1SA4IEHB4WU1	Contoso Motors	Sedan	2007	FWD	6 Cylinder	Black	Black	Manual
2	1	PUB3U17PS911EB369	Contoso Motors	Sedan	2005	FWD	6 Cylinder	Thunder Gray	Gray	Manual
3	1	OA1FTZ9HJBS0LH0HP	Contoso Motors	Wagon	2005	FWD	6 Cylinder	Deep Blue	Brown	Automatic
4	2	JTHMYHQTEPP4WBMRN	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Volcanic Orange	White	Automatic
5	2	9230C202Z60XX84AU	Contoso Motors	SUV	2004	AWD	6 Cylinder	Blazing Gray	Black	Automatic
6	2	TEE8OFO7KCFO1PQH6	Contoso Motors	SUV	2011	FWD	4 Cylinder	Blazing Gray	Black	Automatic
7	3	3581A1IM5GCDDNX6S	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
8	3	5KKR2VB4WHQH97PF8	Contoso Motors	Convertible 2DR	2016	FWD	8 Cylinder	Deep Blue	Brown	Automatic
9	3	C7DB1JTWYWWVOCU3K	Contoso Motors	Coupe	2005	FWD	4 Cylinder	Racing Green	Beige	Manual
10	4	26WJSGHX4MA5ROHNL	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
11	4	8Y5QKG27QET1RBK7I	Contoso Motors	Truck	2009	AWD	10 Cylinder	Blue	Black	Automatic
12	4	TS61YCX093VPDBN4C	Contoso Motors	Wagon	2007	FWD	6 Cylinder	Deep Blue	White	Automatic
13	146	HE0Y7YC1BJJBQ7K98	Contoso Motors	Sedan	2010	FWD	6 Cylinder	Volcanic Orange	White	Manual
14	206	3HUG8Y362XD2AWKDY	Contoso Motors	Sedan	2015	AWD	6 Cylinder	Blue	Old Lace	Manual
15	445	LVYE74QDF2F9CRP70	Contoso Motors	Sedan	2004	FWD	6 Cylinder	Midnight Black	Silverstone	Manual
16	146	F19LDAGBRRYUMX2UX	Contoso Motors	Wagon	2005	AWD	6 Cylinder	Deep Blue	White	Automatic
17	258	FEP3U8HGTMIW5CPBU	Contoso Motors	Truck	2007	AWD	10 Cylinder	Black	Black	Automatic
18	402	O8NSRUCP8NC0XG4YQ	Contoso Motors	Truck	2005	FWD	10 Cylinder	Black	Black	Automatic
19	265	BWQ77DOTN9R6J8DR6	Contoso Motors	Coupe	2007	AWD	4 Cylinder	Midnight Black	Silverstone	Manual
20	20	Z2EOZWZBXAEW3E60T	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
21	142	3ADD7VN2KKRYOT2XS	Contoso Motors	SUV	2013	FWD	Electric	Blazing Gray	Black	Automatic
22	487	RD8HGV484NLOVRUHP	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
23	23	R0JAUHT1L1R3BIKI0	Contoso Motors	Convertible 2DR	2011	AWD	Electric	Racing Green	Beige	Automatic
24	704	ZV03D9VP79L5BZ98V	Contoso Motors	SUV	2013	FWD	6 Cylinder	Blazing Gray	Black	Automatic
25	752	OZPT7F80EYFGFFEFA	Contoso Motors	SUV	2004	RWD	8 Cylinder	Blazing Gray	Black	Automatic
26	26	4WPYRUZII5YV7YA42	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
27	822	I8K5MU1DHDBVGGFFQ	Contoso Motors	SUV	2009	FWD	4 Cylinder	Blazing Gray	Black	Automatic
28	28	XUF99EW9OIQOMV7Q7	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Volcanic Orange	White	Automatic
29	870	T2OG788FMQZNQGVS2	Contoso Motors	SUV	2016	FWD	4 Cylinder	Blazing Gray	Black	Automatic
30	30	UXO8LUK75DYL9WZLK	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Blue	Old Lace	Automatic
31	31	XYDBXU9MA5XXPPQR0	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Silver	Ivory	Automatic
32	81	JF1GH6B60BG81026	Contoso Motors	Convertible 2DR	2017	RWD	8 Cylinder	Black	Midnight Black	Manual
33	85	AVHD2GCOA2NN5ES9J	Contoso Motors	Convertible 2DR	2016	RWD	6 Cylinder	Blazing Gray	Black	Automatic
